Borough,Year,Crime rate,Primary & Utilities,Manufacturing,Construction,Wholesale,Retail,Transportation and Storage,Accomodation and food service activities,Information and Communication,Financial and insurance activities,"Professional, Real Estate, Scientific and technical activities",Administrative and support service activities,Public Admin and defence,Education,Health,"Arts, entertainment and recreation",Other services,Dwellings per hectare,Average number of homeless people per 1000,Attainment,Happiness score out of 10,Anxiety score out of 10,Worthwhile score out of 10,Life satisfaction score out of 10,Ratio of house prices to earnings,Wage per hour,Population per hectare,Life expectancy of men at 65,Life expectancy of women at 65,% of Public sector jobs,% of Private sector jobs,Consumer expenditure on Alcoholic beverages (£mn),Consumer expenditure on Pubs and Wine bars (£mn)
Kingston upon Thames,2017,64.0,0.146,2.343,3.514,4.685,11.713,1.757,7.028,5.271,1.464,8.199,21.083,4.1,10.542,11.713,4.1,2.343,18.0,3.41,55.5,7.58,3.19,7.9,7.69,12.9,16.3,47.9,19.7,22.3,13.3,86.7,41.12840093,69.64862195
Lambeth,2017,105.0,1.345,0.84,3.025,2.017,6.05,3.361,9.412,8.739,0.672,10.084,12.773,6.723,6.723,22.185,3.361,2.689,50.9,3.6,44.3,7.21,3.5,7.48,7.35,15.03,16.42,123.5,18.2,21.4,23.9,76.1,64.06960647,115.4673224
Lewisham,2017,80.0,0.294,1.175,5.874,3.304,10.279,5.14,7.342,3.304,0.881,8.811,10.279,4.405,14.684,19.09,2.937,2.203,35.7,5.93,44.2,7.25,3.26,7.47,7.18,12.28,15.43,87.2,18.4,21.4,23.3,76.7,44.04559715,73.35242644
Merton,2017,65.0,0.729,3.036,5.464,6.072,10.929,5.464,5.464,5.464,2.125,12.143,15.786,2.732,8.5,9.715,2.732,3.643,22.2,1.37,50.2,7.66,3.15,7.79,7.62,12.82,16.02,55.3,19.4,21.7,10.5,89.5,42.5874985,71.93633379
Newham,2017,95.0,1.632,3.263,6.527,3.263,15.851,5.594,8.392,2.797,1.399,7.459,13.054,4.196,11.189,11.189,2.098,2.098,29.2,10.15,48.4,7.54,2.76,7.64,7.61,13.4,12.77,96.0,18.8,21.0,20.8,79.2,36.01018948,62.02607441
Redbridge,2017,75.0,0.372,1.862,7.449,4.345,11.173,3.724,5.587,5.587,1.552,9.932,8.69,5.587,12.415,17.381,2.173,2.173,18.3,4.23,51.2,7.53,3.06,7.85,7.57,12.5,15.42,53.9,19.3,21.8,21.4,78.6,26.42466351,43.18405527
Richmond upon Thames,2017,66.0,0.314,1.258,4.403,3.774,10.063,2.83,8.805,8.805,1.887,16.352,8.805,1.887,11.321,8.805,7.547,3.145,14.4,2.26,52.7,7.58,3.25,7.87,7.71,15.68,19.12,34.5,20.2,23.1,11.4,88.6,46.12143282,83.85075022
Southwark,2017,104.0,0.386,1.073,3.006,1.932,5.152,5.152,6.441,10.305,3.006,24.045,10.734,6.011,7.299,10.305,2.147,3.006,44.2,6.88,50.5,7.33,3.37,7.59,7.37,15.21,16.14,110.1,18.3,22.1,17.8,82.2,62.00571382,111.9386832
Sutton,2017,58.0,0.242,2.425,8.313,4.849,9.699,6.235,5.542,3.464,1.732,9.699,13.855,3.464,9.699,16.626,2.078,2.078,18.8,3.74,56.2,7.54,2.99,7.98,7.66,11.1,15.02,46.7,19.4,21.8,20.1,79.9,40.74911963,66.63062386
Tower Hamlets,2017,95.0,0.348,1.22,2.439,2.091,3.484,2.091,5.575,10.105,23.693,17.073,11.847,3.136,5.226,9.059,1.22,1.394,54.7,3.61,47.2,7.55,3.14,7.69,7.75,12.88,16.86,157.2,18.2,20.9,15.5,84.5,62.65170591,113.6767796
